Name,20-May-2019,21-May-2019,22-May-2019
iwnt2punchurfac,50,68,68
biff,96,96,174
BlackShadow,0,0,10
Highland,84,92,136
Balthazar,0,0,0
bruno,0,10,38
Emili,0,0,0
cruz,0,0,0
REIDEGER,10,20,52
brock,114,192,250
bsmyth80,0,0,0
craka,32,32,32
Ri13y,20,38,48
cubehead,30,54,74
fuqwan,0,0,0
Beth,68,104,157
Slusherk1ller69,78,114,144
Mooseknuckle,0,0,0
soccermaster,130,148,174
M1111,0,0,0
Chuck88,0,0,0
jswizzle38,36,80,126
assassin2000,94,112,171
Serpii 2,0,0,0
josh,0,0,0
ram,0,0,0
rotting corpse,44,44,44
ナオキー,10,20,20
Osmosis Jones,0,0,0
Pe anut,0,0,0
DatOneGuy,26,26,42
blulobster,26,36,52
Elmugavar,0,0,0
天下无敌大帅比,0,0,0
alfred spider,0,0,0
Andrew,0,0,0
Bruno 2.0,0,0,0
pooonjam,0,0,0
ScythShot,91,103,133
cody,28,28,53
Убийца Сё,18,18,18
Mini-Monster,0,0,0
dragonoch,0,0,0
el Brayan,0,0,0
IceyChillz x,0,0,0
R0M4N.YT,0,0,0
FerJoDims,0,0,0
meliodas dark,22,22,22
pokerus,105,139,193
Smooch,0,0,0
